t=0 reset=1 PC=xxxxxxxx Instr=xxxxxxxx CPUOut=xxxxxxxx A(s0)=00000003 B(s1)=00000004 P(s2)=00000000 i(t1)=00000000 bit(t2)=00000000 limit(t3)=00000000 Result=xxxxxxxx ALUResult=xxxxxxxx
t=315000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=325000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000004 bit(t2)=00000000 limit(t3)=00000008 Result=00000005 ALUResult=00000005
t=335000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=345000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=355000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=365000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000060 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=000000c0 ALUResult=000000c0
t=375000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=385000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000005 bit(t2)=00000000 limit(t3)=00000008 Result=00000006 ALUResult=00000006
t=395000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=405000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=415000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=425000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=000000c0 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=00000180 ALUResult=00000180
t=435000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=445000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000006 bit(t2)=00000000 limit(t3)=00000008 Result=00000007 ALUResult=00000007
t=455000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000001
t=465000 reset=0 PC=0000000c Instr=0014f393 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=475000 reset=0 PC=00000010 Instr=00038463 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000000
t=485000 reset=0 PC=00000018 Instr=00141413 CPUOut=xxxxxxxx A(s0)=00000180 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=00000300 ALUResult=00000300
t=495000 reset=0 PC=0000001c Instr=0014d493 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=00000000
t=505000 reset=0 PC=00000020 Instr=00130313 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000007 bit(t2)=00000000 limit(t3)=00000008 Result=00000008 ALUResult=00000008
t=515000 reset=0 PC=00000024 Instr=ffc344e3 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000008 bit(t2)=00000000 limit(t3)=00000008 Result=ffffffe8 ALUResult=00000000
t=525000 reset=0 PC=00000028 Instr=800002b7 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000008 bit(t2)=00000000 limit(t3)=00000008 Result=80000000 ALUResult=00000000
t=535000 reset=0 PC=0000002c Instr=ffc28293 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000008 bit(t2)=00000000 limit(t3)=00000008 Result=7ffffffc ALUResult=7ffffffc
t=545000 reset=0 PC=00000030 Instr=0122a023 CPUOut=xxxxxxxx A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000008 bit(t2)=00000000 limit(t3)=00000008 Result=00000000 ALUResult=7ffffffc
t=555000 reset=0 PC=00000034 Instr=0000006f CPUOut=0000000c A(s0)=00000300 B(s1)=00000000 P(s2)=0000000c i(t1)=00000008 bit(t2)=00000000 limit(t3)=00000008 Result=00000038 ALUResult=00000000
